zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
53015,Cleveland,WI,Cleveland Waterworks,WI4360426,1524,GW,2,1,0,0.0014,,2,82,B,43.9217,-87.7673,1,Stage 2 DBP Rule,,,4,1,false,0
53016,Clyman,WI,Clyman Waterworks,WI1140140,422,GW,3,2,1,0.003325,,1,64,C,43.3107,-88.7144,2,"Chlorine residual;Stage 2 DBP Rule",,,3,2,false,0
53017,Colgate,WI,Germantown Water Utility,WI2670105,20027,GW,0,0,0,0.00175,,1,70,B,43.1998,-88.2406,0,,,,0,0,false,0
53018,Delafield,WI,Delafield Square,WI2685812,587,GW,14,3,2,0.00113,,1,67,C,43.05,-88.3972,3,"Stage 2 DBP Rule;Chlorine residual;Atrazine",,,10,3,false,0
53019,Eden,WI,Manor Hill Mobile Home Park,WI4200462,400,GW,0,0,0,0.00135,,1,66,C,43.6959,-88.3266,0,,,,0,0,false,0
53020,Elkhart Lake,WI,Elkhart Lake Waterworks,WI4600439,1567,GW,0,0,0,0.00054,,2,83,B,43.8436,-87.9767,0,,,,0,0,false,0
53021,Fredonia,WI,Fredonia Waterworks,WI2460109,2279,GW,1,0,0,0.005,,2,83,B,43.477,-87.9612,0,,,,4,0,false,0
53022,Germantown,WI,Germantown Water Utility,WI2670105,20027,GW,5,1,1,0.0017,,1,69,C,43.2189,-88.1165,1,Stage 2 DBP Rule,,,7,1,false,0
53023,Glenbeulah,WI,Glenbeulah Waterworks,WI4600440,461,GW,3,1,1,0.0028,,2,82,B,43.7666,-88.1049,1,Stage 2 DBP Rule,,,2,1,false,0
53024,Grafton,WI,Grafton Waterworks,WI2460111,12269,GW,8,0,2,0.0033,,2,71,B,43.3231,-87.9521,0,,,,10,1,false,0
53026,Greenbush,WI,GLENBEULAH WATERWORKS,WI4600440,461,GW,0,0,0,,,2,53,D,43.7767,-88.084,0,,,,0,0,false,0
53027,Hartford,WI,Hartford Waterworks,WI2670110,15805,GW,0,0,0,0.00086,,1,65,C,43.3157,-88.3707,0,,,,0,0,false,0
53029,Hartland,WI,Hartland Waterworks,WI2680205,9212,GW,1,0,0,0.012,,1,48,D,43.1172,-88.3446,0,,,,2,0,false,0
53031,Hingham,WI,WALDO WATERWORKS,WI4600456,500,GW,0,0,0,,,2,53,D,43.6394,-87.9157,0,,,,0,0,false,0
53032,Horicon,WI,Horicon Waterworks,WI1140146,3682,GW,3,1,0,0.0032,,1,65,C,43.4469,-88.631,1,Contaminant 0700,,,7,1,false,0
53033,Hubertus,WI,WILLOW PINES MFD HOME COMMUNITY,WI4710459,70,GW,0,0,0,,,2,55,C,43.2343,-88.2311,0,,,,0,0,false,0
53034,Hustisford,WI,Hustisford Waterworks,WI1140148,1063,GW,0,0,0,0.00037,,1,66,C,43.3305,-88.603,0,,,,0,0,false,0
